layer_id,type,input_shape,output_shape,output_elements,flops,reg_features
119,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
120,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
121,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
122,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
123,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
124,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
125,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
126,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
127,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
128,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
129,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
130,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
131,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
132,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
133,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
134,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
135,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
136,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
137,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
138,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
139,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
140,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
141,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
142,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
143,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
144,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
145,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
146,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
147,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
148,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
149,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
150,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
151,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
152,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
153,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
154,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
155,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
156,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
157,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
158,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
159,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
160,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
161,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
162,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
163,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
164,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
165,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
166,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
167,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
168,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
169,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
170,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
171,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
172,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
173,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
174,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
175,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
176,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
177,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
178,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
179,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
180,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
181,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
182,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
183,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
184,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
185,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
186,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
187,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
188,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
189,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
190,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
191,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
192,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
193,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
194,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
195,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
196,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
197,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
198,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
